,EVENT_RANK,TOT_TRADERS,GROUP_WIN_PERCENTAGE
0,1,37562,0.434641
1,2,37562,0.462036
2,3,37562,0.460332
3,4,37562,0.456552
4,5,37562,0.454475
5,6,37562,0.452612
6,7,37562,0.456738
7,8,37562,0.455620
8,9,37562,0.456472
9,10,37562,0.454049
10,11,37562,0.456206
11,12,37562,0.452452
12,13,37562,0.454608
13,14,37562,0.452718
14,15,37562,0.452638
15,16,37562,0.452851
16,17,37562,0.452159
17,18,37562,0.451307
18,19,37562,0.450855
19,20,37562,0.448938
20,21,37562,0.449310
21,22,37562,0.448379
22,23,37562,0.448352
23,24,37562,0.452878
24,25,37562,0.454901
25,26,37562,0.453304
26,27,37562,0.450029
27,28,37562,0.450881
28,29,37562,0.447633
29,30,37562,0.451174
30,31,37562,0.452771
31,32,37562,0.449843
32,33,37562,0.448139
33,34,37562,0.446063
34,35,37562,0.446462
35,36,37562,0.443746
36,37,37562,0.452399
37,38,37562,0.448352
38,39,37562,0.450695
39,40,37562,0.444625
40,41,37562,0.449257
41,42,37562,0.446515
42,43,37562,0.448192
43,44,37562,0.449337
44,45,37562,0.449976
45,46,37562,0.445850
46,47,37562,0.449018
47,48,37562,0.446595
48,49,37562,0.444944
49,50,37562,0.448246
50,51,37562,0.448219
51,52,37562,0.449124
52,53,37562,0.451227
53,54,37562,0.450855
54,55,37562,0.453410
55,56,37562,0.454502
56,57,37562,0.448725
57,58,37562,0.451121
58,59,37562,0.449949
59,60,37562,0.450535
60,61,37562,0.443879
61,62,37562,0.449736
62,63,37562,0.452159
63,64,37562,0.446462
64,65,37562,0.446968
65,66,37562,0.450642
66,67,37562,0.448805
67,68,37562,0.447394
68,69,37562,0.451547
69,70,37562,0.456738
70,71,37562,0.449444
71,72,37562,0.451653
72,73,37562,0.448831
73,74,37562,0.447340
74,75,37562,0.454342
75,76,37562,0.449497
76,77,37562,0.448139
77,78,37562,0.452692
78,79,37562,0.453118
79,80,37562,0.449257
80,81,37562,0.450668
81,82,37562,0.451786
82,83,37562,0.453410
83,84,37562,0.448698
84,85,37562,0.450508
85,86,37562,0.450881
86,87,37562,0.453251
87,88,37562,0.449949
88,89,37562,0.450721
89,90,37562,0.451440
90,91,37562,0.454608
91,92,37562,0.453251
92,93,37562,0.452026
93,94,37562,0.448831
94,95,37562,0.449843
95,96,37562,0.447181
96,97,37562,0.452878
97,98,37562,0.455806
98,99,37562,0.450482
99,100,37562,0.453916
100,101,37562,0.450003
101,102,37562,0.450695
102,103,37562,0.451494
103,104,37562,0.449124
104,105,37562,0.455141
105,106,37562,0.453251
106,107,37562,0.454688
107,108,37562,0.450109
108,109,37562,0.450668
109,110,37562,0.450216
110,111,37562,0.451813
111,112,37562,0.454209
112,113,37562,0.453570
113,114,37562,0.453969
114,115,37562,0.456099
115,116,37562,0.455141
116,117,37562,0.449364
117,118,37562,0.451600
118,119,37562,0.454236
119,120,37562,0.451840
120,121,37562,0.451680
121,122,37562,0.454023
122,123,37562,0.453330
123,124,37562,0.453357
124,125,37562,0.449444
125,126,37562,0.456552
126,127,37562,0.451094
127,128,37562,0.453384
128,129,37562,0.458655
129,130,37562,0.456152
130,131,37562,0.456978
131,132,37562,0.455354
132,133,37562,0.459054
133,134,37562,0.450216
134,135,37562,0.454129
135,136,37562,0.451281
136,137,37562,0.452878
137,138,37562,0.456019
138,139,37562,0.455114
139,140,37562,0.455301
140,141,37562,0.450349
141,142,37562,0.450322
142,143,37562,0.451094
143,144,37562,0.458229
144,145,37562,0.454156
145,146,37562,0.453756
146,147,37562,0.455434
147,148,37562,0.455167
148,149,37562,0.455221
149,150,37562,0.455514
150,151,37562,0.454608
151,152,37562,0.456605
152,153,37562,0.448805
153,154,37562,0.456578
154,155,37562,0.454875
155,156,37562,0.452319
156,157,37562,0.454741
157,158,37562,0.455727
158,159,37562,0.454502
159,160,37562,0.454449
160,161,37562,0.453038
161,162,37562,0.452399
162,163,37562,0.455673
163,164,37562,0.449310
164,165,37562,0.456791
165,166,37562,0.454395
166,167,37562,0.452984
167,168,37562,0.457936
168,169,37562,0.452186
169,170,37562,0.457697
170,171,37562,0.454209
171,172,37562,0.456845
172,173,37562,0.456685
173,174,37562,0.456632
174,175,37562,0.454795
175,176,37562,0.452026
176,177,37562,0.455434
177,178,37562,0.452718
178,179,37562,0.453969
179,180,37562,0.453171
180,181,37562,0.454795
181,182,37562,0.458149
182,183,37562,0.449417
183,184,37562,0.459667
184,185,37562,0.454981
185,186,37562,0.456232
186,187,37562,0.459081
187,188,37562,0.459773
188,189,37562,0.457776
189,190,37562,0.458815
190,191,37562,0.452745
191,192,37562,0.456951
192,193,37562,0.460519
193,194,37562,0.457830
194,195,37562,0.451680
195,196,37562,0.458575
196,197,37562,0.456073
197,198,37562,0.454954
198,199,37562,0.453783
199,200,37562,0.452399
200,201,37562,0.456392
201,202,37562,0.457457
202,203,37562,0.456179
203,204,37562,0.456845
204,205,37562,0.457510
205,206,37562,0.455034
206,207,37562,0.453756
207,208,37562,0.457803
208,209,37562,0.457004
209,210,37562,0.457670
210,211,37562,0.465444
211,212,37562,0.454289
212,213,37562,0.459400
213,214,37562,0.455780
214,215,37562,0.457084
215,216,37562,0.456073
216,217,37562,0.453490
217,218,37562,0.454502
218,219,37562,0.455514
219,220,37562,0.456019
220,221,37562,0.456046
221,222,37562,0.454848
222,223,37562,0.459321
223,224,37562,0.457670
224,225,37562,0.459028
225,226,37562,0.460066
226,227,37562,0.462329
227,228,37562,0.455647
228,229,37562,0.459773
229,230,37562,0.459001
230,231,37562,0.456605
231,232,37562,0.452825
232,233,37562,0.456845
233,234,37562,0.456206
234,235,37562,0.458069
235,236,37562,0.461211
236,237,37562,0.458362
237,238,37562,0.459587
238,239,37562,0.460572
239,240,37562,0.459134
240,241,37562,0.452905
241,242,37562,0.456499
242,243,37562,0.456552
243,244,37562,0.459853
244,245,37562,0.461104
245,246,37562,0.457377
246,247,37562,0.456259
247,248,37562,0.460066
248,249,37562,0.458442
249,250,37562,0.458415
250,251,37562,0.458895
251,252,37562,0.458442
252,253,37562,0.456073
253,254,37562,0.457058
254,255,37562,0.452612
255,256,37562,0.457670
256,257,37562,0.456126
257,258,37562,0.456232
258,259,37562,0.454875
259,260,37562,0.460652
260,261,37562,0.457697
261,262,37562,0.458921
262,263,37562,0.458522
263,264,37562,0.455567
264,265,37562,0.459161
265,266,37562,0.457643
266,267,37562,0.456232
267,268,37562,0.458895
268,269,37562,0.459613
269,270,37562,0.459773
270,271,37562,0.457164
271,272,37562,0.454635
272,273,37562,0.461743
273,274,37562,0.458016
274,275,37562,0.455540
275,276,37562,0.459800
276,277,37562,0.457830
277,278,37562,0.455727
278,279,37562,0.460119
279,280,37562,0.460013
280,281,37562,0.457936
281,282,37562,0.460279
282,283,37562,0.460439
283,284,37562,0.459667
284,285,37562,0.458069
285,286,37562,0.457989
286,287,37562,0.457111
287,288,37562,0.455593
288,289,37562,0.454981
289,290,37562,0.457191
290,291,37562,0.455540
291,292,37562,0.455034
292,293,37562,0.462169
293,294,37562,0.455886
294,295,37562,0.457723
295,296,37562,0.460013
296,297,37562,0.453836
297,298,37562,0.458682
298,299,37562,0.460119
299,300,37562,0.453517
300,301,37562,0.457643
301,302,37562,0.456605
302,303,37562,0.460439
303,304,37562,0.455008
304,305,37562,0.457803
305,306,37562,0.460173
306,307,37562,0.459986
307,308,37562,0.457803
308,309,37562,0.456472
309,310,37562,0.458176
310,311,37562,0.460998
311,312,37562,0.456152
312,313,37562,0.456578
313,314,37562,0.460279
314,315,37562,0.457484
315,316,37562,0.460572
316,317,37562,0.453064
317,318,37562,0.453677
318,319,37562,0.456978
319,320,37562,0.453836
320,321,37562,0.455540
321,322,37562,0.457883
322,323,37562,0.453171
323,324,37562,0.452345
324,325,37562,0.456365
325,326,37562,0.459267
326,327,37562,0.456152
327,328,37562,0.454342
328,329,37562,0.453251
329,330,37562,0.454954
330,331,37562,0.453756
331,332,37562,0.457271
332,333,37562,0.454635
333,334,37562,0.457830
334,335,37562,0.455753
335,336,37562,0.458549
336,337,37562,0.450801
337,338,37562,0.456791
338,339,37562,0.453517
339,340,37562,0.453623
340,341,37562,0.451813
341,342,37562,0.455114
342,343,37562,0.455833
343,344,37562,0.454316
344,345,37562,0.452026
345,346,37562,0.459667
346,347,37562,0.454209
347,348,37562,0.458202
348,349,37562,0.453091
349,350,37562,0.452505
350,351,37562,0.454821
351,352,37562,0.456658
352,353,37562,0.454236
353,354,37562,0.455567
354,355,37562,0.455301
355,356,37562,0.453171
356,357,37562,0.457297
357,358,37562,0.456232
358,359,37562,0.455700
359,360,37562,0.451121
